Skewness,Crest_Factor,Kurtosis,RMS,Power,P2Pamp,Periodicity,Noise,Broken_bars-1x,Broken_bars-2x,Broken_bars-3x,Eccentricity-1x,Eccentricity-3x,Eccentricity-5x,cage_winding-3x,Inner_race-1x,Outer_race-1x,bearing_cage-3x,BPF-1x,batch_type,Load
0.0064,544.6125,1.3559,1.0739,1.1532,3.1791,2.9964,1.0738838233131331,55.810673250529916,48.14558788777422,44.92447368038527,17.646671740927502,18.421692991614336,19.703720535512083,33.78201611535029,47.42883505725484,44.92447368038527,58.95330661668085,48.67882248502606,healthy,05
0.0064,544.6125,1.3559,1.0739,1.1532,3.1791,2.9964,1.0738838233131331,55.715913962707354,48.087291405357405,44.960483337716546,11.01412589469242,10.991217464938767,13.33603414810197,34.884565100957104,47.403834857390414,44.960483337716546,58.91193442158064,49.786865478457415,healthy,05
0.0064,544.6125,1.3559,1.0739,1.1532,3.1791,2.9964,1.0738838233131331,55.937528634337326,48.41757246668496,45.213949914444996,13.79377821914365,15.597132034207476,18.864363264094635,35.55320118957938,47.56958115449467,45.213949914444996,59.09039534493108,49.050869080578025,healthy,05
0.0016,988.9542,1.3511,1.0716,1.1483,3.15,2.9964,1.0715827759064809,55.23225293906561,47.668692141440786,44.076750469728566,10.957105058226922,14.0182173239264,15.574319383310383,36.681099434393204,46.93010217475319,44.8229741049662,58.36362061868262,46.37455630776617,healthy,05
0.0016,988.9542,1.3511,1.0716,1.1483,3.15,2.9964,1.0715827759064809,55.12457055542749,47.46755933758718,43.836836186970785,13.968196288237781,14.270276446246696,14.357209152160252,37.048025213737176,46.78608741737834,44.48609579297275,58.284099458006295,45.26442099412496,healthy,05
0.0016,988.9542,1.3511,1.0716,1.1483,3.15,2.9964,1.0715827759064809,55.34180899332512,47.81440008580056,43.94918708329728,19.83233135168995,21.62700567148334,21.794513646708836,33.57545579517188,47.012533526986246,44.740045306442866,58.47460771982078,45.52853493058854,healthy,05
0.0013,916.2303,1.357,1.0705,1.1459,3.1667,2.9964,1.0704654824512208,55.08249772793759,47.51159099528685,43.696422324496744,10.979449650983621,12.87131173361934,15.907938556667196,37.9083499227748,46.63800265928498,44.54729603911606,58.16815464129636,46.872959680486545,healthy,05
0.0013,916.2303,1.357,1.0705,1.1459,3.1667,2.9964,1.0704654824512208,54.94405588724662,47.24011722824796,43.26894940316179,19.975199711956115,21.578634354573175,23.497263386165493,34.61888504710217,46.37099113469405,44.13266297550388,58.15348780699448,45.90992464790944,healthy,05
0.0013,916.2303,1.357,1.0705,1.1459,3.1667,2.9964,1.0704654824512208,55.22421553459586,47.72991441110423,43.83488977869088,14.536350926123973,14.690216135835362,17.119572791559165,38.67050808488664,46.821530021725195,44.67980643394539,58.32267802107941,46.63910378795035,healthy,05
-0.0004,873.7106,1.3515,1.0696,1.1441,3.1417,2.9964,1.0696379926651947,54.915820828129355,47.41185224597781,43.656019170663726,18.624157316382004,19.389487189352632,20.04824152483321,31.692134146885607,46.45098535841193,44.387803878743654,58.07753096907091,46.5624567770069,healthy,05
